Player,Games,Kills,Assists,Knocks,Dmg dealt,Dmg taken,Dmg diff,Ring dmg,Rez.,Rspn.,K/D,KA/D,Surv. time
E36 Cinap,34,46,30,53,"19,975","22,847","-2,872","1,378",6,0,1.28,2.11,9h 44m 22s
DF Pite,40,33,25,37,"17,609","21,520","-3,911","1,620",7,1,0.87,1.53,11h 3m 58s
XNY Yuchen,24,14,12,20,"9,092","11,924","-2,832",716,1,0,0.52,0.96,5h 5m 20s
HAO Right,30,29,21,39,"12,792","14,539","-1,747",365,7,0,0.97,1.67,7h 50m 11s
LG Sweet,30,44,22,48,"19,666","23,701","-4,035","1,502",2,1,1.47,2.2,8h 38m 12s
FLCN Imperialhal,34,49,38,56,"23,813","22,728","1,085",769,12,1,1.58,2.81,9h 11m 18s
FNC satuki,40,36,65,45,"27,685","23,842","3,843","2,463",7,7,0.95,2.66,11h 7m 30s
GLD Jeskoesk,40,39,38,49,"29,362","26,125","3,237","1,712",10,2,0.85,1.67,11h 50m 39s
NRG FunFPS,34,19,21,30,"22,025","19,193","2,832",774,10,1,0.58,1.21,10h 19m 59s
SSG Phony,34,27,67,34,"15,368","11,930","3,438","1,461",6,1,0.9,3.13,9h 42m 18s
GHS Wabu,24,6,22,8,"3,817","6,701","-2,884",534,2,4,0.24,1.12,6h 33m 39s
SRZ SyanaMu,24,7,8,8,"6,594","8,340","-1,746","1,711",4,6,0.28,0.6,6h 7m 47s
MST iiTzTimmy,34,50,87,54,"25,198","19,063","6,135","2,048",10,9,1.56,4.28,10h 20m 14s
TLAW jaguaresl,40,28,33,38,"17,314","21,341","-4,027","1,649",7,2,0.72,1.56,10h 14m 37s
SDW KPG_OuOKh,30,17,36,27,"17,876","19,338","-1,462","1,482",5,4,0.52,1.61,8h 11m 5s
FAZE arctic,24,11,11,17,"13,220","12,996",224,614,1,6,0.48,0.96,6h 31m 35s
NAVI iHenchman,30,38,31,50,"20,917","18,018","2,899",438,4,2,1.52,2.76,8h 21m 2s
EXL Azazel,30,31,28,35,"18,080","18,071",9,"1,240",3,1,1.15,2.19,8h 30m 35s
ALL Unlucky,40,73,56,81,"28,722","24,712","4,010","2,999",7,1,1.78,3.15,10h 28m 33s
FAK Kyner,24,15,21,23,"9,996","15,142","-5,146","2,782",2,0,0.52,1.24,6h 26m 29s
LG Fuhhnq,30,23,27,27,"16,078","16,209",-131,784,11,2,0.85,1.85,8h 16m 51s
ALL Hakis,40,35,92,33,"23,102","22,233",869,"1,585",10,8,0.9,3.26,10h 32m 28s
DF Bolin,6,3,3,6,"4,332","2,712","1,620",195,1,0,0.5,1,1h 42m 11s
SSG Xynew,34,43,48,57,"28,223","19,078","9,145","1,775",5,0,1.48,3.14,9h 52m 29s
XNY JonnyR,24,16,11,18,"10,209","12,200","-1,991",834,1,0,0.64,1.08,5h 16m 10s
FLCN Genburten,34,34,53,44,"24,819","19,723","5,096",603,5,1,1.1,2.81,9h 14m 10s
E36 Aimbot,34,39,30,45,"20,619","23,270","-2,651","1,562",10,1,1.11,1.97,9h 46m 23s
MST Wxltzy,34,74,66,89,"35,941","30,415","5,526","2,162",7,0,2,3.78,10h 20m 23s
FNC Lykq,40,43,50,54,"27,482","24,659","2,823","3,201",4,0,1.05,2.27,11h 23m 49s
GLD Legacy,40,57,33,65,"23,057","25,791","-2,734","1,670",5,1,1.12,1.76,11h 50m 11s
NRG Reptar,34,26,23,34,"16,076","20,005","-3,929","1,027",2,0,0.79,1.48,10h 28m 15s
FAK JSavageW,24,18,27,23,"11,230","14,536","-3,306","2,201",12,5,0.67,1.67,6h 26m 59s
SRZ Noxi,24,7,5,10,"7,639","10,857","-3,218","1,151",2,0,0.24,0.41,5h 56m 41s
GHS 4rufa,24,15,15,18,"13,836","11,956","1,880",741,0,0,0.58,1.15,6h 30m 1s
SDW Zhouzhou,30,45,19,45,"15,072","17,759","-2,687","1,089",8,0,1.36,1.94,7h 54m 51s
EXL brtus_o,30,21,24,26,"18,396","18,908",-512,"1,187",12,1,0.72,1.55,8h 10m 6s
HAO wqtagashi,30,34,25,44,"17,441","13,690","3,751",620,3,0,1.13,1.97,7h 55m 56s
TLAW NeazuI,40,24,38,31,"16,664","22,452","-5,788",891,16,3,0.63,1.63,10h 15m 51s
FAZE Sinetic,24,13,11,20,"14,540","14,708",-168,376,0,0,0.48,0.89,6h 17m 55s
NAVI MaTaFe,30,27,32,32,"15,716","19,329","-3,613","1,269",14,1,1.08,2.36,8h 26m 15s
EXL Kurev,30,33,30,43,"23,212","21,343","1,869",894,5,1,1.18,2.25,8h 27m 31s
GHS 1tappy,24,19,11,21,"9,874","12,373","-2,499",439,0,1,0.73,1.15,6h 28m 50s
FLCN Zer0,34,41,45,47,"21,445","27,145","-5,700",424,9,0,1.24,2.61,9h 5m 19s
