,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Tanzania,Uganda,no result,-,Rwanda,"Dec 23, 2022",T20I # 1983
1,Rwanda,Uganda,Uganda,3 runs,Rwanda,"Dec 23, 2022",T20I # 1982
2,Malaysia,Bahrain,Bahrain,6 wickets,Bangi,"Dec 23, 2022",T20I # 1981
3,Qatar,Singapore,Qatar,9 wickets,Bangi,"Dec 23, 2022",T20I # 1980
4,Tanzania,Uganda,Uganda,7 runs,Rwanda,"Dec 22, 2022",T20I # 1979
5,Rwanda,Tanzania,Tanzania,28 runs,Rwanda,"Dec 22, 2022",T20I # 1978
6,Bahrain,Qatar,no result,-,Bangi,"Dec 22, 2022",T20I # 1977
7,Malaysia,Singapore,Malaysia,143 runs,Bangi,"Dec 22, 2022",T20I # 1976
8,Malaysia,Qatar,no result,-,Bangi,"Dec 21, 2022",T20I # 1975
9,Bahrain,Singapore,Bahrain,6 wickets,Bangi,"Dec 21, 2022",T20I # 1974
10,Rwanda,Uganda,Uganda,7 wickets,Rwanda,"Dec 20, 2022",T20I # 1973
11,Rwanda,Tanzania,Tanzania,31 runs,Rwanda,"Dec 20, 2022",T20I # 1972
12,Rwanda,Uganda,Uganda,9 wickets,Rwanda,"Dec 19, 2022",T20I # 1971
13,Tanzania,Uganda,Tanzania,5 wickets,Rwanda,"Dec 19, 2022",T20I # 1970
14,Malaysia,Bahrain,Malaysia,7 wickets,Bangi,"Dec 19, 2022",T20I # 1969
15,Qatar,Singapore,Qatar,8 wickets,Bangi,"Dec 19, 2022",T20I # 1968
16,Rwanda,Tanzania,Tanzania,6 wickets,Rwanda,"Dec 18, 2022",T20I # 1967
17,Tanzania,Uganda,Uganda,2 runs,Rwanda,"Dec 18, 2022",T20I # 1966
18,Malaysia,Singapore,Malaysia,120 runs,Bangi,"Dec 18, 2022",T20I # 1965
19,Bahrain,Qatar,Bahrain,13 runs,Bangi,"Dec 18, 2022",T20I # 1964
20,Rwanda,Tanzania,Rwanda,1 run,Rwanda,"Dec 16, 2022",T20I # 1963
21,Rwanda,Uganda,Uganda,97 runs,Rwanda,"Dec 16, 2022",T20I # 1962
22,Bahrain,Singapore,tied,-,Bangi,"Dec 16, 2022",T20I # 1961
23,Malaysia,Qatar,Malaysia,8 wickets,Bangi,"Dec 16, 2022",T20I # 1960
24,Tanzania,Uganda,Uganda,13 runs,Rwanda,"Dec 15, 2022",T20I # 1959
25,Rwanda,Uganda,Uganda,133 runs,Rwanda,"Dec 15, 2022",T20I # 1958
26,Qatar,Singapore,Qatar,5 wickets,Bangi,"Dec 15, 2022",T20I # 1957
27,Malaysia,Bahrain,Malaysia,11 runs,Bangi,"Dec 15, 2022",T20I # 1956
28,Tanzania,Uganda,no result,-,Rwanda,"Dec 14, 2022",T20I # 1955
29,Rwanda,Uganda,Uganda,85 runs,Rwanda,"Dec 14, 2022",T20I # 1954
30,Rwanda,Tanzania,Tanzania,5 wickets,Rwanda,"Dec 13, 2022",T20I # 1953
31,Rwanda,Tanzania,Tanzania,66 runs,Rwanda,"Dec 13, 2022",T20I # 1952
32,Cameroon,Tanzania,Tanzania,184 runs,Kigali,"Dec 9, 2022",T20I # 1950
33,Ghana,Nigeria,Nigeria,6 wickets,Rwanda,"Dec 9, 2022",T20I # 1951
34,Cameroon,Gambia,Gambia,11 runs,Kigali,"Dec 9, 2022",T20I # 1948
35,Mozambique,Sierra Leone,Mozambique,5 wickets,Rwanda,"Dec 9, 2022",T20I # 1949
36,Gambia,Mozambique,Mozambique,40 runs,Kigali,"Dec 8, 2022",T20I # 1946
37,Nigeria,Tanzania,no result,-,Rwanda,"Dec 8, 2022",T20I # 1947
38,Cameroon,Eswatini,no result,-,Kigali,"Dec 8, 2022",T20I # 1944
39,Gambia,Ghana,Ghana,138 runs,Rwanda,"Dec 8, 2022",T20I # 1945
40,Cameroon,Ghana,Ghana,107 runs,Kigali,"Dec 6, 2022",T20I # 1942
41,Gambia,Tanzania,Tanzania,10 wickets,Rwanda,"Dec 6, 2022",T20I # 1943
42,Gambia,Sierra Leone,Sierra Leone,8 wickets,Kigali,"Dec 6, 2022",T20I # 1940
43,Eswatini,Tanzania,Tanzania,66 runs,Rwanda,"Dec 6, 2022",T20I # 1941
44,Cameroon,Nigeria,Nigeria,17 runs,Rwanda,"Dec 5, 2022",T20I # 1938
45,Ghana,Sierra Leone,Sierra Leone,18 runs,Kigali,"Dec 5, 2022",T20I # 1939
46,Eswatini,Sierra Leone,Sierra Leone,4 runs,Kigali,"Dec 5, 2022",T20I # 1936
47,Mozambique,Tanzania,Tanzania,6 wickets,Rwanda,"Dec 5, 2022",T20I # 1937
48,Gambia,Nigeria,Nigeria,9 wickets,Kigali,"Dec 4, 2022",T20I # 1934
49,Ghana,Tanzania,Tanzania,4 wickets,Rwanda,"Dec 4, 2022",T20I # 1935
50,Cameroon,Mozambique,Mozambique,9 wickets,Rwanda,"Dec 4, 2022",T20I # 1932
51,Eswatini,Nigeria,Nigeria,118 runs,Kigali,"Dec 4, 2022",T20I # 1933
52,Cameroon,Sierra Leone,Sierra Leone,1 wicket,Rwanda,"Dec 2, 2022",T20I # 1930
53,Eswatini,Mozambique,Mozambique,9 wickets,Kigali,"Dec 2, 2022",T20I # 1931
54,Ghana,Mozambique,Mozambique,7 wickets,Kigali,"Dec 2, 2022",T20I # 1928
55,Nigeria,Sierra Leone,Nigeria,6 wickets,Rwanda,"Dec 2, 2022",T20I # 1929
56,Eswatini,Gambia,Eswatini,5 wickets,Kigali,"Dec 1, 2022",T20I # 1926
57,Mozambique,Nigeria,Nigeria,8 wickets,Rwanda,"Dec 1, 2022",T20I # 1927
58,Eswatini,Ghana,Ghana,25 runs,Kigali,"Dec 1, 2022",T20I # 1924
59,Sierra Leone,Tanzania,Tanzania,9 wickets,Rwanda,"Dec 1, 2022",T20I # 1925
60,Kenya,Seychelles,Kenya,7 wickets,Rwanda,"Nov 25, 2022",T20I # 1922
61,Rwanda,Lesotho,no result,-,Kigali,"Nov 25, 2022",T20I # 1923
62,Botswana,St Helena,Botswana,60 runs,Rwanda,"Nov 25, 2022",T20I # 1920
63,Lesotho,Malawi,Malawi,118 runs,Kigali,"Nov 25, 2022",T20I # 1921
64,Botswana,Kenya,Kenya,8 wickets,Rwanda,"Nov 24, 2022",T20I # 1918
65,Rwanda,Mali,Rwanda,10 wickets,Kigali,"Nov 24, 2022",T20I # 1919
66,Malawi,St Helena,Malawi,10 wickets,Rwanda,"Nov 24, 2022",T20I # 1916
